Unnamed: 0,Unnamed: 1,Date,2025-10-31 00:00:00,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
M0123,Riverrock 750ml                         ,Doz,12,19.35,,580,935.25,,,,,
M0180,RiverRock Spark/Still                 ,Doz,12,5.18,,10,4.31666666666667,,,,,
M25,Splash Cola 18LTR                 ,18LT,500,171.16,1,1,171.50232,,,,,
M24,Splash Energy18LTR                  ,18LT,500,182.64,,,0,,,,,
M23,Splash White18LTR                   ,18LT,500,173.06,1,,173.06,,,,,
M0050,Split 7up                                      ,Doz,12,6.35,,56,29.6333333333333,,,,,
M0003,Split 7UP Diet                            ,Doz,12,6.35,,,0,,,,,
M0040,Split Coke                                   ,Doz,12,7,,279,162.75,,,,,
M0013,Split Coke 330ML                      ,Doz,12,14.52,,,0,,,,,
M2105,Split Coke Diet                           ,Doz,12,6.6,,301,165.55,,,,,
M0004,Split Fanta Lemon                       ,Doz,12,5.75,,169,80.9791666666667,,,,,
M0034,Split Fanta Orange                      ,Doz,12,5.75,,78,37.375,,,,,
M0070,Split Friuce Juices                       ,Doz,12,7.16,,52,31.0266666666667,,,,,
M0135,Split Lucozade                            ,Doz,12,8.8,,151,110.733333333333,,,,,
M0315,Split Pepsi                                   ,Doz,12,5.1,,294,124.95,,,,,
M0016,Split Poachers Ginger Beer         ,Doz,12,10.24,,14,11.9466666666667,,,,,
M0255,Split Sch                                     ,Doz,12,6.88,,384,220.16,,,,,
M0122,Split Sch Elderflower                  ,Doz,12,6.5,,27,14.625,,,,,
M0200,Split Sprite/Zero                          ,Doz,12,5.6,,536,250.133333333333,,,,,
M0312,Splits Britvic Juices                    ,Doz,12,8.4,,136,95.2,,,,,
M0012,Teisseire Bubble Gum                ,Ind,1,8.67,,1,8.67,,,,,
M0011,Three Cents Pink Grapefruit       ,Doz,12,0,,,0,,,,,
,Total for    ,,,,,Minerals/Syrups,4185.61179969543,,,,,
Code,Description,Size,UOM,Cost Price,,Closing Stock - Bottles,Stock at Cost,,,,,
W0040,1/4 Jack Rabbit 187Ml,18cl,1,3.47,,,0,,,,,
W31,200ml De Faveri Prosecco,Ind,1,3.23,,,0,,,,,
W0039,Alvier Chardonny,Ind,1,6.75,,,0,,,,,
W0019,Chablis Emeraude,75cl,1,18.67,3,,56.01,,,,,
W0025,Chateau De Domy,75cl,1,16.33,1,,16.33,,,,,
W0044,Chateau Haut Baradiou,75cl,1,12.06,,,0,,,,,
W0018,Chateau Pascaud,75cl,1,10.25,3,,30.75,,,,,
W2108,Cheval Chardonny,75cl,1,6.83,50.8,,346.964,,,,,
W0038,Classic South Sauv Blanc,75cl,1,9.83,4,,39.32,,,,,
W0032,De La Chevaliere Rose,75cl,1,10.83,3,,32.49,,,,,
W0036,Domaine Petit Chablis,75cl,1,15.83,6,,94.98,,,,,
W0028,Domiane Fleurie,75cl,1,15.5,7,,108.5,,,,,
W0023,El Somo Rioja Crianza,75cl,1,8.14,2,,16.28,,,,,
W0027,Equino Malbec,75cl,1,7.5,23,,172.5,,,,,
W0043,Fuego Blanco,75cl,1,5.19,4.1,,21.279,,,,,
W0031,La Chevaliere Chardonny,75cl,1,8.5,11,,93.5,,,,,
W0033,Les Jamelles Sauv-Blanc,75cl,1,8.5,15,,127.5,,,,,
W2102,Les Petits Jamelles Rose,75cl,1,7.64,6,,45.84,,,,,
W1020,Les Roche Merlot,75cl,1,7,30,,210,,,,,
W2589,MarquesPlata Sauv/Blanc,75cl,1,6.17,26.4,,162.888,,,,,
W1004,MarquesPlata Temp/Syrah,75cl,1,6.17,43.5,,268.395,,,,,
W0024,Moilard Macon Village,75cl,1,15.5,5,,77.5,,,,,
,Pacsaud Bordeaux Superior,,,,8,,0,,,,,
W1013,Pannier,75cl,1,30.99,13,,402.87,,,,,
W0021,Pazo Albarino,75cl,1,9.88,18,,177.84,,,,,
,Pinot Grigio Snipes,,,,36,,0,,,,,
W0037,Pouilly Tume Lucy,75cl,1,17.5,8,,140,,,,,
S45,Primitivo Giola Colle,75cl,1,11.5,7,,80.5,,,,,
,No Alcohol Prosecco,,,,10,,0,,,,,
W1019,Prosecco Collie,75cl,1,9.33,0,,0,,,,,
,MDC PROSECCO DOC TRE F 24X20CL,,,3.23,99,,319.77,,,,,
W2110,Real Camponia Verdejo,75cl,1,7.96,,,0,,,,,
W111,Reina 5.5%,Ind,1,4.17,18,,75.06,,,,,
W1,Rialto Prosecco 750ML,Ind,1,8.93,15,,133.95,,,,,
W0034,Roquende Cab-Sauv,75cl,1,7.5,,,0,,,,,
W0041,Roquende Chardonny,75cl,1,10.43,10.2,,106.386,,,,,
W0042,Roquende Rose,75cl,1,6.48,21.5,,139.32,,,,,
,O&G SHIRAZ 6X75CL,,,8.5,6,,51,,,,,
,O&G SHIRAZ 12X187ML,,,,,,0,,,,,
,O&G SAUVIGNON BLANC 12X187ML,,,3,12,,36,,,,,
W2104,Santa Ana Malbec,75cl,1,6.92,48.7,,337.004,,,,,
W0029,Serra d Conte Castelli,75cl,1,9.83,12,,117.96,,,,,
